,fisherman_age,fisherman_experience_years,life_threatening_disaster_count,how_often_used_signs,how_long_used_signs_years,num_matched_rules,pattern_ratio,weighted_sum_norm,province_Aceh,province_D.I. Yogyakarta
52,29.0,9.0,1.0,30.0,9.0,11.0,17.207142857142856,1.0,1.0,0.0
53,29.0,9.0,3.0,20.0,9.0,0.0,0.0,0.0,1.0,0.0
54,30.0,10.0,4.0,3.5,10.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
55,47.0,12.0,8.0,5.5,12.0,0.0,0.0,0.0,1.0,0.0
56,47.0,12.0,5.0,5.5,12.0,0.0,0.0,0.0,1.0,0.0
57,57.0,21.0,1.0,30.0,21.0,7.0,10.95,0.6363636363636364,1.0,0.0
58,57.0,21.0,3.0,5.5,21.0,0.0,0.0,0.0,1.0,0.0
59,57.0,21.0,6.0,22.0,21.0,0.0,0.0,0.0,1.0,0.0
60,27.0,7.0,5.0,5.5,7.0,0.0,0.0,0.0,1.0,0.0
61,27.0,7.0,4.0,3.5,7.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
62,27.0,7.0,2.0,22.0,7.0,0.0,0.0,0.0,1.0,0.0
63,37.0,12.0,4.0,18.0,12.0,4.0,6.257142857142857,0.6589097816710877,1.0,0.0
64,37.0,12.0,8.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0
65,39.0,13.0,3.0,5.5,13.0,0.0,0.0,0.0,1.0,0.0
66,39.0,13.0,6.0,5.5,13.0,0.0,0.0,0.0,1.0,0.0
67,38.0,8.0,8.0,5.5,8.0,1.0,1.5642857142857143,0.1944288884967579,1.0,0.0
68,38.0,8.0,2.0,22.0,8.0,0.0,0.0,0.0,1.0,0.0
69,45.0,15.0,1.0,30.0,15.0,11.0,17.207142857142856,1.0,1.0,0.0
70,45.0,15.0,3.0,20.0,15.0,0.0,0.0,0.0,1.0,0.0
71,44.0,21.0,8.0,18.0,21.0,2.0,3.1285714285714286,0.37588937013078205,1.0,0.0
72,44.0,21.0,4.0,3.5,21.0,0.0,0.0,0.0,1.0,0.0
73,33.0,12.0,5.0,5.5,12.0,0.0,0.0,0.0,1.0,0.0
74,60.0,30.0,1.0,30.0,30.0,8.0,12.514285714285714,0.7272727272727273,1.0,0.0
